index,name,seat,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,p_runs,markov_p,p_empirical,entropy_bits,cramers_v,tsumogiri_count,points_gained,PC1,PC2,anomaly_flag,CUSUM,kmeans,dbscan,hmm_state
東1-0,Bさん,南,,12,0.0,11,,0.101014753732503,0.2795754826907458,0.2865,0.7169925001442312,0.1693024636230036,1,-4000,0.7413802332043816,-0.17992676780249856,1,3,0,0,0
東1-0,Cさん,西,,12,1.0,13,,0.0177187257567703,0.1069300199976089,0.888,0.3999999999999999,0.1339483812021039,2,-4000,-2.7530174284555895,-0.7412568719474808,1,3,1,3,0
東1-0,Dさん,北,12.0,13,0.0,12,13.0,0.2158325055308574,0.2370963383167987,0.9396,0.3999999999999999,0.1339483812021039,4,-4000,-2.6395539139725375,2.106499959828603,1,3,1,-1,1
東1-1,Aさん,東,,8,0.0,7,,0.0019161214301012,0.0031489722007559,0.9879,0.3999999999999999,0.125689847458867,2,0,-3.510338983783771,-0.5634571201259598,1,3,1,3,0
東1-1,Bさん,南,,8,0.0,7,,0.101014753732503,0.2759888159267309,0.6534,0.5333333333333333,0.1490993996350283,3,-5500,-1.405278126968121,-0.30785257897219964,1,3,1,1,0
東1-1,Cさん,西,5.0,7,0.0,6,5.833333333333333,0.0177187257567703,0.0058193329161464,0.5681,0.4918295834054489,0.1561245081464045,2,6500,-1.51693764832287,-0.017027006631854996,1,3,1,1,0
東1-1,Dさん,北,,6,1.0,7,,0.5873235968543763,0.3618223094425107,0.056,0.7836591668108979,0.1873393108936591,2,0,1.9454146912931638,0.008560857755136838,1,3,0,0,1
東2-0,Bさん,東,,8,0.0,7,,0.0005230230780571,0.0014060620112582,0.7704,0.4666666666666666,0.1490993996350282,4,-3900,-2.1728716987540806,-0.696469625642141,1,3,1,1,0
東2-0,Cさん,南,,6,2.0,8,,0.101014753732503,0.28242930754057,0.0801,0.6503258334775646,0.1815262689906896,4,3900,1.091197028792096,-1.6792246592118225,1,3,0,-1,0
東2-0,Aさん,北,,8,1.0,9,,0.101014753732503,0.0846877977227305,0.0533,0.7836591668108979,0.1873393108936591,3,0,1.6669237426149601,-1.1924640637899078,1,3,0,0,0
東2-0,Dさん,西,,7,1.0,8,,0.0061966636526663,0.1913035749682687,0.162,0.7169925001442312,0.1755208114761589,4,0,0.9062414493660444,-1.3551018672565298,1,3,0,-1,0
東3-0,Cさん,東,,4,0.0,3,,0.1081395835339431,0.005706057819165,0.9422,0.4666666666666666,0.1339483812021039,1,-2600,-3.052326361676707,-0.6231235552958715,1,3,1,3,0
東3-0,Dさん,南,,4,1.0,5,,0.101014753732503,0.4965026138758985,0.3736,0.6251629167387822,0.162846839442427,1,-1300,-0.0071855404044353,-1.0541732142539364,1,3,0,0,0
東3-0,Aさん,西,4.0,5,0.0,4,5.0,0.0448883712012402,0.4929635630496658,0.4384,0.6503258334775646,0.162846839442427,1,6200,-0.03465893835145773,0.050963815116132474,1,3,0,-1,0
東3-0,Bさん,北,,3,0.0,2,,0.0448883712012402,0.0920061267468306,0.943,0.4666666666666666,0.1339483812021039,0,-1300,-3.0186156559505695,-0.7889388180040585,1,3,1,3,0
東4-0,Dさん,東,,16,2.0,18,,0.0448883712012402,0.0620342393389926,0.7508,0.4918295834054489,0.1490993996350282,8,-3000,-1.4960241742305427,-1.021121058944567,1,3,1,1,0
東4-0,Aさん,南,,18,1.0,19,,0.2158325055308574,0.6571098189338249,0.441,0.7333333333333333,0.162846839442427,7,1000,1.0684889326289264,0.2860429886601209,1,3,0,0,1
東4-0,Bさん,西,,19,0.0,18,,0.2025894340136438,0.4242941781072062,0.5807,0.6,0.1561245081464045,6,1000,-0.18907237523236842,0.7387291478645049,1,3,0,-1,1
東4-0,Cさん,北,,17,0.0,16,,0.0061966636526663,0.2220715679520885,0.4392,0.5584962500721157,0.162846839442427,6,1000,-0.23752861517811075,-0.0427131601471685,1,3,0,-1,0
